,Table 1 (continued),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Sl. Name of the diagnostic assay,,Test principle,Name of company Sensitivity,,Gene of target,Turnaround time
1,No,,,,,,
2,,,,,,,(cobas 6800 System)
3,,,,,,,and
4,,,,,,,1056 results (cobas
5,,,,,,,8800 System)
6,,,,,,,in 8 h
7,51 VitaPCR SARS-CoV-2 assay,,Real-time PCR,Credo Diagnostics NA,,Viral RNA,Results in 20 min with
8,,,,Biomedical Pte Ltd.,,,1 min of
9,,,,,,,hands-on time
10,52 QIAstat-Dx Respiratory,,Multiplex real-time,Qiagen GmbH 400 copies/mL,,E and RdRP genes,"Results in ≈1 h, by"
11,SARS-CoV-2 panel,,RT-PCR,,,,differentiating
12,,,,,,,novel coronavirus
13,,,,,,,from 21
14,,,,,,,other bacterial and
15,,,,,,,viral
16,,,,,,,respiratory
17,,,,,,,pathogens
18,55 TaqPath COVID-19,,Multiplex real-time,Rutgers Clinical Genomics 200 copies/mL,,ORF1b and N and S,- 94 specimens in under
19,combo kit,,RT-PCR,Laboratory,,Genes,3 h
20,,,,ThermoFisher-Applied,,,- 382 specimens in
21,,,,Biosystems,,,under 6.5 h
22,56 TRUPCR SARS-CoV-2,,Real-time RT-PCR,3B Black Bio Biotech India Ltd. NA,,"E, RdRP and N genes",NA
23,RT-qPCR Kit (V-3.2),,,,,,
24,(Single Tube Multiplex format),,,,,,
25,57 Accula SARS-CoV-2 test,,PCR and lateral,Mesa Biotech Inc 200 copies/reaction,,N gene,"Results in 30 min, the"
26,,,flow technologies,,,,palm-sized device
27,,,,,,,can be
28,,,,,,,used in physician
29,,,,,,,office or
30,,,,,,,patients’ home
31,58 iAMP COVID-19 detection kit,,Real-time RT isothermal,"Atila BioSystems, Inc. D11 4 copies/μL",,ORF1ab and/ or N gene,Results < 1.5 h
32,,,amplification test,,,,
33,59 ID NOW COVID-19,,Isothermal nucleic acid amplification,"Abbott Diagnostics Scarborough, Inc. 125 copies /mL",,RdRP gene,Positive results < 5 min
34,,,technology,,,,and
35,,,,,,,negative results in 13
36,,,,,,,min
37,60 CRISPR-based tests for SARS-CoV-2,,CRISPR-based lateral flow assay,Cepheid Sherlock Biosciences 4.5 copies/μL–ORF1ab,,viral RNA,Results in < 1 h
38,,,isothermal amplificatio,0.9 copies/ μL–N gene,,,
39,61 SARS-CoV-2 DETECTR,,CRISPR-based lateral flow assay,Mammoth Biosciences 10 copies/μL,,E and N genes,CRISPR Cas12a-based
